,시도,시군구,계약종별,년도,월,전력 사용량
99,서울특별시,관악구,교육용,2022,1월,23758322.0
100,서울특별시,관악구,산업용,2022,1월,3490035.0
101,서울특별시,관악구,농사용,2022,1월,14281.0
102,서울특별시,관악구,가로등,2022,1월,985398.0
103,서울특별시,관악구,심 야,2022,1월,790680.0
104,서울특별시,강남구,주택용,2022,1월,84134037.0
105,서울특별시,강남구,일반용,2022,1월,339015601.0
106,서울특별시,강남구,교육용,2022,1월,6189717.0
107,서울특별시,강남구,산업용,2022,1월,31394053.0
108,서울특별시,강남구,농사용,2022,1월,186106.0
109,서울특별시,강남구,가로등,2022,1월,1915432.0
110,서울특별시,강남구,심 야,2022,1월,1551562.0
111,서울특별시,강동구,주택용,2022,1월,59329159.0
112,서울특별시,강동구,일반용,2022,1월,74957337.0
113,서울특별시,강동구,교육용,2022,1월,4653635.0
114,서울특별시,강동구,산업용,2022,1월,13943786.0
115,서울특별시,강동구,농사용,2022,1월,234715.0
116,서울특별시,강동구,가로등,2022,1월,941538.0
117,서울특별시,강동구,심 야,2022,1월,390814.0
118,서울특별시,송파구,주택용,2022,1월,87482704.0
119,서울특별시,송파구,일반용,2022,1월,147361634.0
120,서울특별시,송파구,교육용,2022,1월,7392573.0
121,서울특별시,송파구,산업용,2022,1월,18149358.0
122,서울특별시,송파구,농사용,2022,1월,277312.0
123,서울특별시,송파구,가로등,2022,1월,1706300.0
124,서울특별시,송파구,심 야,2022,1월,1160719.0
125,서울특별시,중랑구,주택용,2022,1월,49445292.0
126,서울특별시,중랑구,일반용,2022,1월,46681329.0
127,서울특별시,중랑구,교육용,2022,1월,4320543.0
128,서울특별시,중랑구,산업용,2022,1월,7159158.0
129,서울특별시,중랑구,농사용,2022,1월,41131.0
130,서울특별시,중랑구,가로등,2022,1월,1068193.0
131,서울특별시,중랑구,심 야,2022,1월,421671.0
132,서울특별시,노원구,주택용,2022,1월,62674820.0
133,서울특별시,노원구,일반용,2022,1월,60241664.0
134,서울특별시,노원구,교육용,2022,1월,14589049.0
135,서울특별시,노원구,산업용,2022,1월,6271019.0
136,서울특별시,노원구,농사용,2022,1월,37764.0
137,서울특별시,노원구,가로등,2022,1월,1151578.0
138,서울특별시,노원구,심 야,2022,1월,889144.0
139,서울특별시,서초구,주택용,2022,1월,62916484.0
140,서울특별시,서초구,일반용,2022,1월,196985066.0
141,서울특별시,서초구,교육용,2022,1월,6351038.0
142,서울특별시,서초구,산업용,2022,1월,38173420.0
143,서울특별시,서초구,농사용,2022,1월,858349.0
144,서울특별시,서초구,가로등,2022,1월,1961323.0
145,서울특별시,서초구,심 야,2022,1월,780003.0
146,서울특별시,양천구,주택용,2022,1월,58755126.0
147,서울특별시,양천구,일반용,2022,1월,91929837.0
148,서울특별시,양천구,교육용,2022,1월,4822091.0
149,서울특별시,양천구,산업용,2022,1월,4104546.0
150,서울특별시,양천구,농사용,2022,1월,20187.0
151,서울특별시,양천구,가로등,2022,1월,1122465.0
152,서울특별시,양천구,심 야,2022,1월,321491.0
153,서울특별시,광진구,주택용,2022,1월,44225700.0
154,서울특별시,광진구,일반용,2022,1월,60752189.0
155,서울특별시,광진구,교육용,2022,1월,9156011.0
156,서울특별시,광진구,산업용,2022,1월,32436651.0
157,서울특별시,광진구,농사용,2022,1월,33800.0
158,서울특별시,광진구,가로등,2022,1월,835957.0
159,서울특별시,광진구,심 야,2022,1월,786926.0
160,서울특별시,강북구,주택용,2022,1월,37677921.0
161,서울특별시,강북구,일반용,2022,1월,41200356.0
162,서울특별시,강북구,교육용,2022,1월,3294283.0
