시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2017,1월,23169895.0
서울특별시,종로구,주택용,2017,2월,23301110.0
서울특별시,종로구,주택용,2017,3월,20300534.0
서울특별시,종로구,주택용,2017,4월,20407637.0
서울특별시,종로구,주택용,2017,5월,19089589.0
서울특별시,종로구,주택용,2017,6월,20354296.0
서울특별시,종로구,주택용,2017,7월,24321487.0
서울특별시,종로구,주택용,2017,8월,28282719.0
서울특별시,종로구,주택용,2017,9월,22610045.0
서울특별시,종로구,주택용,2017,10월,19399001.0
서울특별시,종로구,주택용,2017,11월,20272764.0
서울특별시,종로구,주택용,2017,12월,22660419.0
서울특별시,종로구,일반용,2017,1월,114479950.0
서울특별시,종로구,일반용,2017,2월,114070828.0
서울특별시,종로구,일반용,2017,3월,100039519.0
서울특별시,종로구,일반용,2017,4월,90575982.0
서울특별시,종로구,일반용,2017,5월,88768226.0
서울특별시,종로구,일반용,2017,6월,100809931.0
서울특별시,종로구,일반용,2017,7월,119321846.0
서울특별시,종로구,일반용,2017,8월,126258722.0
서울특별시,종로구,일반용,2017,9월,107746249.0
서울특별시,종로구,일반용,2017,10월,86180428.0
서울특별시,종로구,일반용,2017,11월,92208251.0
서울특별시,종로구,일반용,2017,12월,113953493.0
서울특별시,종로구,교육용,2017,1월,9181588.0
서울특별시,종로구,교육용,2017,2월,9449469.0
서울특별시,종로구,교육용,2017,3월,7912165.0
서울특별시,종로구,교육용,2017,4월,7358196.0
서울특별시,종로구,교육용,2017,5월,6445041.0
서울특별시,종로구,교육용,2017,6월,7960111.0
서울특별시,종로구,교육용,2017,7월,9253599.0
서울특별시,종로구,교육용,2017,8월,9210356.0
서울특별시,종로구,교육용,2017,9월,8655619.0
서울특별시,종로구,교육용,2017,10월,6773748.0
서울특별시,종로구,교육용,2017,11월,7442262.0
서울특별시,종로구,교육용,2017,12월,10418970.0
서울특별시,종로구,산업용,2017,1월,6376869.0
서울특별시,종로구,산업용,2017,2월,6974477.0
서울특별시,종로구,산업용,2017,3월,7002117.0
서울특별시,종로구,산업용,2017,4월,6711586.0
서울특별시,종로구,산업용,2017,5월,5752594.0
서울특별시,종로구,산업용,2017,6월,6329732.0
서울특별시,종로구,산업용,2017,7월,6777442.0
서울특별시,종로구,산업용,2017,8월,6857180.0
서울특별시,종로구,산업용,2017,9월,6882655.0
서울특별시,종로구,산업용,2017,10월,5297827.0
서울특별시,종로구,산업용,2017,11월,5928824.0
서울특별시,종로구,산업용,2017,12월,6887362.0
서울특별시,종로구,농사용,2017,1월,9559.0
서울특별시,종로구,농사용,2017,2월,8557.0
서울특별시,종로구,농사용,2017,3월,6449.0
서울특별시,종로구,농사용,2017,4월,6219.0
서울특별시,종로구,농사용,2017,5월,3004.0
서울특별시,종로구,농사용,2017,6월,2927.0
서울특별시,종로구,농사용,2017,7월,2443.0
서울특별시,종로구,농사용,2017,8월,1858.0
서울특별시,종로구,농사용,2017,9월,1931.0
서울특별시,종로구,농사용,2017,10월,2173.0
서울특별시,종로구,농사용,2017,11월,2713.0
서울특별시,종로구,농사용,2017,12월,7163.0
서울특별시,종로구,가로등,2017,1월,1088016.0
서울특별시,종로구,가로등,2017,2월,1004320.0
서울특별시,종로구,가로등,2017,3월,895758.0
서울특별시,종로구,가로등,2017,4월,878659.0
서울특별시,종로구,가로등,2017,5월,805150.0
서울특별시,종로구,가로등,2017,6월,782323.0
서울특별시,종로구,가로등,2017,7월,750114.0
서울특별시,종로구,가로등,2017,8월,786800.0
서울특별시,종로구,가로등,2017,9월,832161.0
서울특별시,종로구,가로등,2017,10월,890884.0
서울특별시,종로구,가로등,2017,11월,958023.0
서울특별시,종로구,가로등,2017,12월,1000707.0
서울특별시,종로구,심 야,2017,1월,3909992.0
서울특별시,종로구,심 야,2017,2월,4200810.0
서울특별시,종로구,심 야,2017,3월,3289544.0
서울특별시,종로구,심 야,2017,4월,2744252.0
서울특별시,종로구,심 야,2017,5월,3209479.0
서울특별시,종로구,심 야,2017,6월,4491348.0
서울특별시,종로구,심 야,2017,7월,6613642.0
서울특별시,종로구,심 야,2017,8월,6261534.0
서울특별시,종로구,심 야,2017,9월,4107889.0
서울특별시,종로구,심 야,2017,10월,2195262.0
서울특별시,종로구,심 야,2017,11월,2003792.0
서울특별시,종로구,심 야,2017,12월,3397070.0
서울특별시,중구,주택용,2017,1월,16934220.0
서울특별시,중구,주택용,2017,2월,17184745.0
서울특별시,중구,주택용,2017,3월,15029349.0
서울특별시,중구,주택용,2017,4월,15208660.0
서울특별시,중구,주택용,2017,5월,14188606.0
서울특별시,중구,주택용,2017,6월,14889441.0
서울특별시,중구,주택용,2017,7월,18228790.0
서울특별시,중구,주택용,2017,8월,21278320.0
서울특별시,중구,주택용,2017,9월,16670132.0
서울특별시,중구,주택용,2017,10월,14382599.0
서울특별시,중구,주택용,2017,11월,15138140.0
서울특별시,중구,주택용,2017,12월,16876173.0
서울특별시,중구,일반용,2017,1월,171537176.0
서울특별시,중구,일반용,2017,2월,167842697.0
서울특별시,중구,일반용,2017,3월,152932140.0
서울특별시,중구,일반용,2017,4월,139654237.0
서울특별시,중구,일반용,2017,5월,142113200.0
서울특별시,중구,일반용,2017,6월,161894119.0
서울특별시,중구,일반용,2017,7월,191028784.0
서울특별시,중구,일반용,2017,8월,196643305.0
서울특별시,중구,일반용,2017,9월,170385765.0
서울특별시,중구,일반용,2017,10월,135955117.0
서울특별시,중구,일반용,2017,11월,143767493.0
서울특별시,중구,일반용,2017,12월,172256050.0
