시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2018,1월,24546965.0
서울특별시,종로구,주택용,2018,2월,24679527.0
서울특별시,종로구,주택용,2018,3월,20401275.0
서울특별시,종로구,주택용,2018,4월,20286731.0
서울특별시,종로구,주택용,2018,5월,19180367.0
서울특별시,종로구,주택용,2018,6월,20682071.0
서울특별시,종로구,주택용,2018,7월,24096119.0
서울특별시,종로구,주택용,2018,8월,34169296.0
서울특별시,종로구,주택용,2018,9월,24780679.0
서울특별시,종로구,주택용,2018,10월,18567799.0
서울특별시,종로구,주택용,2018,11월,20880595.0
서울특별시,종로구,주택용,2018,12월,21965864.0
서울특별시,종로구,일반용,2018,1월,124214898.0
서울특별시,종로구,일반용,2018,2월,120933139.0
서울특별시,종로구,일반용,2018,3월,97520950.0
서울특별시,종로구,일반용,2018,4월,90376137.0
서울특별시,종로구,일반용,2018,5월,88448529.0
서울특별시,종로구,일반용,2018,6월,99595430.0
서울특별시,종로구,일반용,2018,7월,116312824.0
서울특별시,종로구,일반용,2018,8월,137591335.0
서울특별시,종로구,일반용,2018,9월,108902074.0
서울특별시,종로구,일반용,2018,10월,85751488.0
서울특별시,종로구,일반용,2018,11월,89536178.0
서울특별시,종로구,일반용,2018,12월,106635938.0
서울특별시,종로구,교육용,2018,1월,10470670.0
서울특별시,종로구,교육용,2018,2월,10909510.0
서울특별시,종로구,교육용,2018,3월,7929867.0
서울특별시,종로구,교육용,2018,4월,7458541.0
서울특별시,종로구,교육용,2018,5월,6683567.0
서울특별시,종로구,교육용,2018,6월,7857655.0
서울특별시,종로구,교육용,2018,7월,9019645.0
서울특별시,종로구,교육용,2018,8월,10088777.0
서울특별시,종로구,교육용,2018,9월,9130812.0
서울특별시,종로구,교육용,2018,10월,6546656.0
서울특별시,종로구,교육용,2018,11월,7469901.0
서울특별시,종로구,교육용,2018,12월,9647726.0
서울특별시,종로구,산업용,2018,1월,6770284.0
서울특별시,종로구,산업용,2018,2월,7800366.0
서울특별시,종로구,산업용,2018,3월,6361478.0
서울특별시,종로구,산업용,2018,4월,6840807.0
서울특별시,종로구,산업용,2018,5월,6090341.0
서울특별시,종로구,산업용,2018,6월,6459713.0
서울특별시,종로구,산업용,2018,7월,6488101.0
서울특별시,종로구,산업용,2018,8월,7440279.0
서울특별시,종로구,산업용,2018,9월,7284559.0
서울특별시,종로구,산업용,2018,10월,5278394.0
서울특별시,종로구,산업용,2018,11월,5906079.0
서울특별시,종로구,산업용,2018,12월,6167006.0
서울특별시,종로구,농사용,2018,1월,8591.0
서울특별시,종로구,농사용,2018,2월,8441.0
서울특별시,종로구,농사용,2018,3월,5535.0
서울특별시,종로구,농사용,2018,4월,3924.0
서울특별시,종로구,농사용,2018,5월,3291.0
서울특별시,종로구,농사용,2018,6월,2295.0
서울특별시,종로구,농사용,2018,7월,1740.0
서울특별시,종로구,농사용,2018,8월,2350.0
서울특별시,종로구,농사용,2018,9월,2119.0
서울특별시,종로구,농사용,2018,10월,2045.0
서울특별시,종로구,농사용,2018,11월,1640.0
서울특별시,종로구,농사용,2018,12월,3827.0
서울특별시,종로구,가로등,2018,1월,1009885.0
서울특별시,종로구,가로등,2018,2월,974653.0
서울특별시,종로구,가로등,2018,3월,862845.0
