시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2015,1월,24148189.0
서울특별시,종로구,주택용,2015,2월,23083847.0
서울특별시,종로구,주택용,2015,3월,20331649.0
서울특별시,종로구,주택용,2015,4월,20731205.0
서울특별시,종로구,주택용,2015,5월,19504046.0
서울특별시,종로구,주택용,2015,6월,20608775.0
서울특별시,종로구,주택용,2015,7월,22198422.0
서울특별시,종로구,주택용,2015,8월,26138176.0
서울특별시,종로구,주택용,2015,9월,22806253.0
서울특별시,종로구,주택용,2015,10월,19532001.0
서울특별시,종로구,주택용,2015,11월,20151238.0
서울특별시,종로구,주택용,2015,12월,21357835.0
서울특별시,종로구,일반용,2015,1월,118133726.0
서울특별시,종로구,일반용,2015,2월,108137268.0
서울특별시,종로구,일반용,2015,3월,97702442.0
서울특별시,종로구,일반용,2015,4월,91920361.0
서울특별시,종로구,일반용,2015,5월,88113897.0
서울특별시,종로구,일반용,2015,6월,101708190.0
서울특별시,종로구,일반용,2015,7월,113814618.0
서울특별시,종로구,일반용,2015,8월,123134333.0
서울특별시,종로구,일반용,2015,9월,109709164.0
서울특별시,종로구,일반용,2015,10월,90713735.0
서울특별시,종로구,일반용,2015,11월,89816489.0
서울특별시,종로구,일반용,2015,12월,103359821.0
서울특별시,종로구,교육용,2015,1월,9619909.0
서울특별시,종로구,교육용,2015,2월,9134874.0
서울특별시,종로구,교육용,2015,3월,7877886.0
서울특별시,종로구,교육용,2015,4월,7528174.0
서울특별시,종로구,교육용,2015,5월,6553731.0
서울특별시,종로구,교육용,2015,6월,7895442.0
서울특별시,종로구,교육용,2015,7월,8599190.0
서울특별시,종로구,교육용,2015,8월,8962583.0
서울특별시,종로구,교육용,2015,9월,8752875.0
서울특별시,종로구,교육용,2015,10월,6779537.0
서울특별시,종로구,교육용,2015,11월,7080494.0
서울특별시,종로구,교육용,2015,12월,8749458.0
서울특별시,종로구,산업용,2015,1월,6580369.0
서울특별시,종로구,산업용,2015,2월,6670621.0
서울특별시,종로구,산업용,2015,3월,5982242.0
서울특별시,종로구,산업용,2015,4월,6721819.0
서울특별시,종로구,산업용,2015,5월,5823373.0
서울특별시,종로구,산업용,2015,6월,6064528.0
서울특별시,종로구,산업용,2015,7월,5882294.0
서울특별시,종로구,산업용,2015,8월,6096980.0
서울특별시,종로구,산업용,2015,9월,6683300.0
서울특별시,종로구,산업용,2015,10월,5281388.0
서울특별시,종로구,산업용,2015,11월,5743682.0
서울특별시,종로구,산업용,2015,12월,6227976.0
서울특별시,종로구,농사용,2015,1월,2848.0
서울특별시,종로구,농사용,2015,2월,2465.0
서울특별시,종로구,농사용,2015,3월,1496.0
서울특별시,종로구,농사용,2015,4월,1751.0
서울특별시,종로구,농사용,2015,5월,1718.0
서울특별시,종로구,농사용,2015,6월,2401.0
서울특별시,종로구,농사용,2015,7월,2329.0
서울특별시,종로구,농사용,2015,8월,2501.0
서울특별시,종로구,농사용,2015,9월,2285.0
서울특별시,종로구,농사용,2015,10월,2138.0
서울특별시,종로구,농사용,2015,11월,2142.0
서울특별시,종로구,농사용,2015,12월,1940.0
서울특별시,종로구,가로등,2015,1월,1146090.0
서울특별시,종로구,가로등,2015,2월,1075102.0
서울특별시,종로구,가로등,2015,3월,952962.0
서울특별시,종로구,가로등,2015,4월,927062.0
서울특별시,종로구,가로등,2015,5월,843043.0
서울특별시,종로구,가로등,2015,6월,815751.0
서울특별시,종로구,가로등,2015,7월,800183.0
서울특별시,종로구,가로등,2015,8월,850694.0
서울특별시,종로구,가로등,2015,9월,909157.0
서울특별시,종로구,가로등,2015,10월,968991.0
서울특별시,종로구,가로등,2015,11월,1043462.0
서울특별시,종로구,가로등,2015,12월,1090879.0
서울특별시,종로구,심 야,2015,1월,4822017.0
서울특별시,종로구,심 야,2015,2월,4528148.0
서울특별시,종로구,심 야,2015,3월,3736099.0
서울특별시,종로구,심 야,2015,4월,3097673.0
서울특별시,종로구,심 야,2015,5월,3517895.0
서울특별시,종로구,심 야,2015,6월,4918544.0
서울특별시,종로구,심 야,2015,7월,6247907.0
서울특별시,종로구,심 야,2015,8월,6238675.0
서울특별시,종로구,심 야,2015,9월,4851871.0
서울특별시,종로구,심 야,2015,10월,2935359.0
서울특별시,종로구,심 야,2015,11월,2281081.0
서울특별시,종로구,심 야,2015,12월,3320642.0
서울특별시,중구,주택용,2015,1월,17429254.0
서울특별시,중구,주택용,2015,2월,16820491.0
서울특별시,중구,주택용,2015,3월,14805947.0
서울특별시,중구,주택용,2015,4월,15084063.0
서울특별시,중구,주택용,2015,5월,14068375.0
서울특별시,중구,주택용,2015,6월,14849087.0
서울특별시,중구,주택용,2015,7월,15852565.0
서울특별시,중구,주택용,2015,8월,18920164.0
서울특별시,중구,주택용,2015,9월,16515526.0
서울특별시,중구,주택용,2015,10월,14049726.0
서울특별시,중구,주택용,2015,11월,14730532.0
서울특별시,중구,주택용,2015,12월,15653614.0
서울특별시,중구,일반용,2015,1월,179084402.0
서울특별시,중구,일반용,2015,2월,161309495.0
서울특별시,중구,일반용,2015,3월,152548419.0
서울특별시,중구,일반용,2015,4월,144680104.0
서울특별시,중구,일반용,2015,5월,144934055.0
서울특별시,중구,일반용,2015,6월,164958786.0
서울특별시,중구,일반용,2015,7월,183362948.0
서울특별시,중구,일반용,2015,8월,191944670.0
서울특별시,중구,일반용,2015,9월,172954459.0
서울특별시,중구,일반용,2015,10월,146058749.0
서울특별시,중구,일반용,2015,11월,140121460.0
서울특별시,중구,일반용,2015,12월,159086751.0
서울특별시,중구,교육용,2015,1월,5433375.0
서울특별시,중구,교육용,2015,2월,4635007.0
서울특별시,중구,교육용,2015,3월,4178012.0
서울특별시,중구,교육용,2015,4월,3327941.0
서울특별시,중구,교육용,2015,5월,2786720.0
서울특별시,중구,교육용,2015,6월,3426306.0
서울특별시,중구,교육용,2015,7월,3604471.0
서울특별시,중구,교육용,2015,8월,3584793.0
서울특별시,중구,교육용,2015,9월,3688080.0
서울특별시,중구,교육용,2015,10월,2869300.0
서울특별시,중구,교육용,2015,11월,3313219.0
서울특별시,중구,교육용,2015,12월,4761682.0
서울특별시,중구,산업용,2015,1월,23597665.0
서울특별시,중구,산업용,2015,2월,22844742.0
서울특별시,중구,산업용,2015,3월,20155793.0
서울특별시,중구,산업용,2015,4월,20651237.0
서울특별시,중구,산업용,2015,5월,18036278.0
서울특별시,중구,산업용,2015,6월,19342519.0
서울특별시,중구,산업용,2015,7월,20413909.0
서울특별시,중구,산업용,2015,8월,21236622.0
서울특별시,중구,산업용,2015,9월,22331547.0
서울특별시,중구,산업용,2015,10월,17541626.0
서울특별시,중구,산업용,2015,11월,18471105.0
서울특별시,중구,산업용,2015,12월,21270667.0
서울특별시,중구,가로등,2015,1월,1725615.0
서울특별시,중구,가로등,2015,2월,1677515.0
서울특별시,중구,가로등,2015,3월,1535543.0
서울특별시,중구,가로등,2015,4월,1580030.0
서울특별시,중구,가로등,2015,5월,1458275.0
서울특별시,중구,가로등,2015,6월,1426796.0
서울특별시,중구,가로등,2015,7월,1397186.0
서울특별시,중구,가로등,2015,8월,1436204.0
서울특별시,중구,가로등,2015,9월,1491224.0
서울특별시,중구,가로등,2015,10월,1495843.0
서울특별시,중구,가로등,2015,11월,1594804.0
서울특별시,중구,가로등,2015,12월,1565216.0
서울특별시,중구,심 야,2015,1월,1197573.0
서울특별시,중구,심 야,2015,2월,1126975.0
서울특별시,중구,심 야,2015,3월,1085171.0
서울특별시,중구,심 야,2015,4월,1595439.0
서울특별시,중구,심 야,2015,5월,4346703.0
서울특별시,중구,심 야,2015,6월,7669382.0
서울특별시,중구,심 야,2015,7월,9667713.0
서울특별시,중구,심 야,2015,8월,10341976.0
서울특별시,중구,심 야,2015,9월,7713418.0
서울특별시,중구,심 야,2015,10월,3470952.0
서울특별시,중구,심 야,2015,11월,911567.0
서울특별시,중구,심 야,2015,12월,912902.0
서울특별시,용산구,주택용,2015,1월,36455771.0
서울특별시,용산구,주택용,2015,2월,35247773.0
서울특별시,용산구,주택용,2015,3월,30807874.0
서울특별시,용산구,주택용,2015,4월,31710639.0
서울특별시,용산구,주택용,2015,5월,29498921.0
서울특별시,용산구,주택용,2015,6월,31703318.0
서울특별시,용산구,주택용,2015,7월,34266922.0
서울특별시,용산구,주택용,2015,8월,42206725.0
서울특별시,용산구,주택용,2015,9월,35745022.0
서울특별시,용산구,주택용,2015,10월,29833771.0
서울특별시,용산구,주택용,2015,11월,30972933.0
서울특별시,용산구,주택용,2015,12월,32604945.0
서울특별시,용산구,일반용,2015,1월,73401234.0
서울특별시,용산구,일반용,2015,2월,68298468.0
