시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2016,1월,23135783.0
서울특별시,종로구,주택용,2016,2월,23329919.0
서울특별시,종로구,주택용,2016,3월,20694440.0
서울특별시,종로구,주택용,2016,4월,20092127.0
서울특별시,종로구,주택용,2016,5월,19020476.0
서울특별시,종로구,주택용,2016,6월,20553379.0
서울특별시,종로구,주택용,2016,7월,22674936.0
서울특별시,종로구,주택용,2016,8월,28825312.0
서울특별시,종로구,주택용,2016,9월,24280652.0
서울특별시,종로구,주택용,2016,10월,19434801.0
서울특별시,종로구,주택용,2016,11월,20383288.0
서울특별시,종로구,주택용,2016,12월,21579290.0
서울특별시,종로구,일반용,2016,1월,115806679.0
서울특별시,종로구,일반용,2016,2월,114135050.0
서울특별시,종로구,일반용,2016,3월,101740167.0
서울특별시,종로구,일반용,2016,4월,90477934.0
서울특별시,종로구,일반용,2016,5월,90986397.0
서울특별시,종로구,일반용,2016,6월,105463263.0
서울특별시,종로구,일반용,2016,7월,116979711.0
서울특별시,종로구,일반용,2016,8월,132062334.0
서울특별시,종로구,일반용,2016,9월,111850113.0
서울특별시,종로구,일반용,2016,10월,92624849.0
서울특별시,종로구,일반용,2016,11월,92973676.0
서울특별시,종로구,일반용,2016,12월,105533982.0
서울특별시,종로구,교육용,2016,1월,9108082.0
서울특별시,종로구,교육용,2016,2월,9408764.0
서울특별시,종로구,교육용,2016,3월,8163733.0
서울특별시,종로구,교육용,2016,4월,7101467.0
서울특별시,종로구,교육용,2016,5월,6484201.0
서울특별시,종로구,교육용,2016,6월,8279873.0
서울특별시,종로구,교육용,2016,7월,8759127.0
서울특별시,종로구,교육용,2016,8월,9355391.0
서울특별시,종로구,교육용,2016,9월,8684331.0
서울특별시,종로구,교육용,2016,10월,7133945.0
서울특별시,종로구,교육용,2016,11월,7414215.0
서울특별시,종로구,교육용,2016,12월,8982473.0
서울특별시,종로구,산업용,2016,1월,6289620.0
서울특별시,종로구,산업용,2016,2월,6774487.0
서울특별시,종로구,산업용,2016,3월,6827445.0
서울특별시,종로구,산업용,2016,4월,6748232.0
서울특별시,종로구,산업용,2016,5월,5894141.0
서울특별시,종로구,산업용,2016,6월,6557302.0
서울특별시,종로구,산업용,2016,7월,6537548.0
서울특별시,종로구,산업용,2016,8월,6644969.0
서울특별시,종로구,산업용,2016,9월,6874451.0
서울특별시,종로구,산업용,2016,10월,5562886.0
서울특별시,종로구,산업용,2016,11월,5937806.0
서울특별시,종로구,산업용,2016,12월,6427565.0
서울특별시,종로구,농사용,2016,1월,3132.0
서울특별시,종로구,농사용,2016,2월,3607.0
서울특별시,종로구,농사용,2016,3월,3031.0
서울특별시,종로구,농사용,2016,4월,2404.0
서울특별시,종로구,농사용,2016,5월,3741.0
서울특별시,종로구,농사용,2016,6월,4075.0
서울특별시,종로구,농사용,2016,7월,2766.0
서울특별시,종로구,농사용,2016,8월,2195.0
서울특별시,종로구,농사용,2016,9월,2010.0
서울특별시,종로구,농사용,2016,10월,2070.0
서울특별시,종로구,농사용,2016,11월,2573.0
서울특별시,종로구,농사용,2016,12월,5603.0
서울특별시,종로구,가로등,2016,1월,1120692.0
서울특별시,종로구,가로등,2016,2월,1060852.0
서울특별시,종로구,가로등,2016,3월,953717.0
서울특별시,종로구,가로등,2016,4월,911094.0
서울특별시,종로구,가로등,2016,5월,823209.0
서울특별시,종로구,가로등,2016,6월,789238.0
서울특별시,종로구,가로등,2016,7월,773486.0
서울특별시,종로구,가로등,2016,8월,810232.0
서울특별시,종로구,가로등,2016,9월,872916.0
서울특별시,종로구,가로등,2016,10월,925769.0
서울특별시,종로구,가로등,2016,11월,993020.0
서울특별시,종로구,가로등,2016,12월,1038086.0
서울특별시,종로구,심 야,2016,1월,4165222.0
서울특별시,종로구,심 야,2016,2월,4496534.0
서울특별시,종로구,심 야,2016,3월,3666869.0
서울특별시,종로구,심 야,2016,4월,3010354.0
서울특별시,종로구,심 야,2016,5월,3627871.0
서울특별시,종로구,심 야,2016,6월,5057399.0
서울특별시,종로구,심 야,2016,7월,6278297.0
서울특별시,종로구,심 야,2016,8월,7063869.0
서울특별시,종로구,심 야,2016,9월,4815565.0
서울특별시,종로구,심 야,2016,10월,2698999.0
서울특별시,종로구,심 야,2016,11월,2116679.0
서울특별시,종로구,심 야,2016,12월,3302833.0
서울특별시,중구,주택용,2016,1월,17044286.0
서울특별시,중구,주택용,2016,2월,17221709.0
서울특별시,중구,주택용,2016,3월,15278068.0
서울특별시,중구,주택용,2016,4월,15019214.0
서울특별시,중구,주택용,2016,5월,14154343.0
서울특별시,중구,주택용,2016,6월,15171434.0
서울특별시,중구,주택용,2016,7월,16867730.0
서울특별시,중구,주택용,2016,8월,22302354.0
서울특별시,중구,주택용,2016,9월,18088595.0
서울특별시,중구,주택용,2016,10월,14378680.0
서울특별시,중구,주택용,2016,11월,14920324.0
서울특별시,중구,주택용,2016,12월,15798754.0
서울특별시,중구,일반용,2016,1월,173594469.0
서울특별시,중구,일반용,2016,2월,166512554.0
서울특별시,중구,일반용,2016,3월,154677248.0
서울특별시,중구,일반용,2016,4월,140640948.0
서울특별시,중구,일반용,2016,5월,148049220.0
서울특별시,중구,일반용,2016,6월,170642133.0
서울특별시,중구,일반용,2016,7월,189003374.0
서울특별시,중구,일반용,2016,8월,206461787.0
서울특별시,중구,일반용,2016,9월,175691201.0
서울특별시,중구,일반용,2016,10월,149233880.0
서울특별시,중구,일반용,2016,11월,145903970.0
서울특별시,중구,일반용,2016,12월,162905258.0
서울특별시,중구,교육용,2016,1월,5082141.0
서울특별시,중구,교육용,2016,2월,4760768.0
서울특별시,중구,교육용,2016,3월,4203542.0
서울특별시,중구,교육용,2016,4월,3108921.0
서울특별시,중구,교육용,2016,5월,2957806.0
서울특별시,중구,교육용,2016,6월,3637246.0
서울특별시,중구,교육용,2016,7월,3827862.0
서울특별시,중구,교육용,2016,8월,3989357.0
서울특별시,중구,교육용,2016,9월,3730811.0
서울특별시,중구,교육용,2016,10월,2948724.0
서울특별시,중구,교육용,2016,11월,3866792.0
서울특별시,중구,교육용,2016,12월,4929687.0
서울특별시,중구,산업용,2016,1월,22752468.0
서울특별시,중구,산업용,2016,2월,23707985.0
서울특별시,중구,산업용,2016,3월,21847603.0
서울특별시,중구,산업용,2016,4월,20499535.0
서울특별시,중구,산업용,2016,5월,18473754.0
서울특별시,중구,산업용,2016,6월,20482523.0
서울특별시,중구,산업용,2016,7월,21554541.0
서울특별시,중구,산업용,2016,8월,23273905.0
서울특별시,중구,산업용,2016,9월,22329061.0
서울특별시,중구,산업용,2016,10월,18622518.0
서울특별시,중구,산업용,2016,11월,19266902.0
서울특별시,중구,산업용,2016,12월,21069221.0
서울특별시,중구,가로등,2016,1월,1573179.0
서울특별시,중구,가로등,2016,2월,1526537.0
서울특별시,중구,가로등,2016,3월,1424423.0
서울특별시,중구,가로등,2016,4월,1465173.0
서울특별시,중구,가로등,2016,5월,1371365.0
서울특별시,중구,가로등,2016,6월,1348003.0
서울특별시,중구,가로등,2016,7월,1289178.0
서울특별시,중구,가로등,2016,8월,1296867.0
서울특별시,중구,가로등,2016,9월,1305935.0
서울특별시,중구,가로등,2016,10월,1309531.0
서울특별시,중구,가로등,2016,11월,1369351.0
서울특별시,중구,가로등,2016,12월,1371652.0
서울특별시,중구,심 야,2016,1월,967892.0
서울특별시,중구,심 야,2016,2월,1026552.0
서울특별시,중구,심 야,2016,3월,977295.0
서울특별시,중구,심 야,2016,4월,1556456.0
서울특별시,중구,심 야,2016,5월,4713426.0
서울특별시,중구,심 야,2016,6월,8233957.0
서울특별시,중구,심 야,2016,7월,10247579.0
서울특별시,중구,심 야,2016,8월,11822574.0
서울특별시,중구,심 야,2016,9월,7764838.0
서울특별시,중구,심 야,2016,10월,3761465.0
서울특별시,중구,심 야,2016,11월,808366.0
서울특별시,중구,심 야,2016,12월,817752.0
서울특별시,용산구,주택용,2016,1월,35365802.0
서울특별시,용산구,주택용,2016,2월,35937641.0
서울특별시,용산구,주택용,2016,3월,31621388.0
서울특별시,용산구,주택용,2016,4월,30955340.0
서울특별시,용산구,주택용,2016,5월,29091277.0
서울특별시,용산구,주택용,2016,6월,31688952.0
서울특별시,용산구,주택용,2016,7월,35272487.0
서울특별시,용산구,주택용,2016,8월,48052892.0
서울특별시,용산구,주택용,2016,9월,39161766.0
서울특별시,용산구,주택용,2016,10월,29762649.0
서울특별시,용산구,주택용,2016,11월,30610008.0
서울특별시,용산구,주택용,2016,12월,32277355.0
서울특별시,용산구,일반용,2016,1월,71581562.0
서울특별시,용산구,일반용,2016,2월,72773610.0
서울특별시,용산구,일반용,2016,3월,62612582.0
서울특별시,용산구,일반용,2016,4월,55682397.0
서울특별시,용산구,일반용,2016,5월,54577676.0
서울특별시,용산구,일반용,2016,6월,65511409.0
서울특별시,용산구,일반용,2016,7월,73221556.0
서울특별시,용산구,일반용,2016,8월,85232344.0
서울특별시,용산구,일반용,2016,9월,73802243.0
서울특별시,용산구,일반용,2016,10월,58258654.0
서울특별시,용산구,일반용,2016,11월,57092455.0
서울특별시,용산구,일반용,2016,12월,64996102.0
서울특별시,용산구,교육용,2016,1월,5001384.0
서울특별시,용산구,교육용,2016,2월,5270259.0
서울특별시,용산구,교육용,2016,3월,4566486.0
서울특별시,용산구,교육용,2016,4월,3870590.0
서울특별시,용산구,교육용,2016,5월,3508431.0
서울특별시,용산구,교육용,2016,6월,4464021.0
서울특별시,용산구,교육용,2016,7월,4945581.0
서울특별시,용산구,교육용,2016,8월,5108155.0
서울특별시,용산구,교육용,2016,9월,5019595.0
