시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2020,1월,23282355.0
서울특별시,종로구,주택용,2020,2월,22805944.0
서울특별시,종로구,주택용,2020,3월,21157407.0
서울특별시,종로구,주택용,2020,4월,20528809.0
서울특별시,종로구,주택용,2020,5월,19532519.0
서울특별시,종로구,주택용,2020,6월,21593865.0
서울특별시,종로구,주택용,2020,7월,23510494.0
서울특별시,종로구,주택용,2020,8월,26870726.0
서울특별시,종로구,주택용,2020,9월,26624205.0
서울특별시,종로구,주택용,2020,10월,19920762.0
서울특별시,종로구,주택용,2020,11월,20468684.0
서울특별시,종로구,주택용,2020,12월,22421828.0
서울특별시,종로구,일반용,2020,1월,114495623.0
서울특별시,종로구,일반용,2020,2월,105338838.0
서울특별시,종로구,일반용,2020,3월,94326383.0
서울특별시,종로구,일반용,2020,4월,83914212.0
서울특별시,종로구,일반용,2020,5월,83334611.0
서울특별시,종로구,일반용,2020,6월,98931540.0
서울특별시,종로구,일반용,2020,7월,107842159.0
서울특별시,종로구,일반용,2020,8월,112964562.0
서울특별시,종로구,일반용,2020,9월,102740211.0
서울특별시,종로구,일반용,2020,10월,81058173.0
서울특별시,종로구,일반용,2020,11월,86290766.0
서울특별시,종로구,일반용,2020,12월,100322717.0
서울특별시,종로구,교육용,2020,1월,9559773.0
서울특별시,종로구,교육용,2020,2월,8855042.0
서울특별시,종로구,교육용,2020,3월,6872377.0
서울특별시,종로구,교육용,2020,4월,5909347.0
서울특별시,종로구,교육용,2020,5월,5559426.0
서울특별시,종로구,교육용,2020,6월,7043982.0
서울특별시,종로구,교육용,2020,7월,7934770.0
서울특별시,종로구,교육용,2020,8월,8415305.0
서울특별시,종로구,교육용,2020,9월,8034215.0
서울특별시,종로구,교육용,2020,10월,5951326.0
서울특별시,종로구,교육용,2020,11월,7044572.0
서울특별시,종로구,교육용,2020,12월,8724295.0
서울특별시,종로구,산업용,2020,1월,6335667.0
서울특별시,종로구,산업용,2020,2월,6493638.0
서울특별시,종로구,산업용,2020,3월,6251995.0
서울특별시,종로구,산업용,2020,4월,5800648.0
서울특별시,종로구,산업용,2020,5월,5255774.0
서울특별시,종로구,산업용,2020,6월,6095093.0
서울특별시,종로구,산업용,2020,7월,6437129.0
서울특별시,종로구,산업용,2020,8월,5732473.0
서울특별시,종로구,산업용,2020,9월,6274032.0
서울특별시,종로구,산업용,2020,10월,4784933.0
서울특별시,종로구,산업용,2020,11월,5292240.0
서울특별시,종로구,산업용,2020,12월,5772111.0
서울특별시,종로구,농사용,2020,1월,4382.0
서울특별시,종로구,농사용,2020,2월,3711.0
서울특별시,종로구,농사용,2020,3월,3240.0
서울특별시,종로구,농사용,2020,4월,2617.0
서울특별시,종로구,농사용,2020,5월,1477.0
서울특별시,종로구,농사용,2020,6월,933.0
