연월,확진자수,확진자수누적합계,사망자수,사망자수누적합계
2020-08-01,1,1,0,0
2020-09-01,0,1,0,0
2020-10-01,0,1,0,0
2020-11-01,0,1,0,0
2020-12-01,0,1,0,0
2021-01-01,1,2,0,0
2021-02-01,9,11,0,0
2021-03-01,1,12,0,0
2021-04-01,3,15,0,0
2021-05-01,0,15,0,0
2021-06-01,3,18,0,0
2021-07-01,3,21,1,1
2021-08-01,0,21,0,1
2021-09-01,9,30,0,1
2021-10-01,29,59,0,1
2021-11-01,12,71,0,1
2021-12-01,50,121,0,1
