구분,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월
확진자수,4,2,1,8,0,7,10,3,9,5,25,45,92,29,86,138,77,228
사망자수,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
