연도,월,확진자수,사망자수
2020,08,2,9
2020,09,19,0
2020,10,4,0
2020,11,3,0
2020,12,61,0
2021,01,31,0
2021,02,28,1
2021,03,1,0
2021,04,6,0
2021,05,3,0
2021,06,4,0
2021,07,32,0
2021,08,29,1
2021,09,42,0
2021,10,35,0
2021,11,33,0
2021,12,411,4
2022,01,155,3
