기간,사망자수,확진자수
2020-01,0,0
2020-02,0,10
2020-03,0,9
2020-04,0,0
2020-05,0,0
2020-06,0,0
2020-07,0,0
2020-08,0,0
2020-09,0,0
2020-10,0,0
2020-11,0,2
2020-12,0,0
2021-01,0,2
2021-02,0,2
2021-03,0,0
2021-04,0,3
2021-05,0,12
2021-06,0,6
2021-07,0,6
2021-08,0,39
2021-09,0,20
2021-10,1,30
2021-11,1,14
2021-12,1,79
