구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2020년,566,0,3,10,2,5,5,13,108,24,18,238,140
2021년,5560,184,111,53,141,413,185,391,573,496,448,898,1667
